N	mop_num	b_lon	b_lat	p_lon	p_lat	depth	orient	shore_type
1	D0001	-117.12410	32.53430	-117.12917	32.53426	-10.03	269.46	1
2	D0002	-117.12410	32.53520	-117.12917	32.53524	-10.03	270.54	1
3	D0003	-117.12410	32.53610	-117.12918	32.53587	-10.01	266.93	1
4	D0004	-117.12420	32.53700	-117.12925	32.53678	-10.00	267.04	1
5	D0005	-117.12420	32.53790	-117.12933	32.53771	-10.02	267.48	1
6	D0006	-117.12430	32.53880	-117.12940	32.53857	-10.01	266.94	1
7	D0007	-117.12430	32.53970	-117.12951	32.53951	-10.00	267.52	1
8	D0008	-117.12440	32.54060	-117.12956	32.54018	-10.01	264.49	1
9	D0009	-117.12450	32.54150	-117.12978	32.54083	-10.09	261.44	1
10	D0010	-117.12470	32.54240	-117.13010	32.54156	-9.99	259.55	1
11	D0011	-117.12490	32.54330	-117.13025	32.54247	-10.01	259.57	1
12	D0012	-117.12510	32.54420	-117.13043	32.54337	-10.00	259.53	1
13	D0013	-117.12530	32.54510	-117.13081	32.54420	-10.00	259.03	1
14	D0014	-117.12550	32.54600	-117.13152	32.54502	-10.00	259.07	1
15	D0015	-117.12570	32.54690	-117.13221	32.54584	-10.00	259.07	1
16	D0016	-117.12590	32.54780	-117.13268	32.54663	-10.00	258.43	1
17	D0017	-117.12610	32.54860	-117.13303	32.54747	-10.00	259.05	1
18	D0018	-117.12630	32.54950	-117.13351	32.54810	-10.00	257.03	1
19	D0019	-117.12660	32.55040	-117.13402	32.54890	-10.00	256.51	1
20	D0020	-117.12680	32.55130	-117.13454	32.54979	-10.00	256.97	1
21	D0021	-117.12710	32.55220	-117.13500	32.55048	-10.01	255.52	1
22	D0022	-117.12730	32.55300	-117.13560	32.55094	-10.00	253.59	2
23	D0023	-117.12770	32.55390	-117.13584	32.55120	-10.00	248.52	1
24	D0024	-117.12810	32.55470	-117.13661	32.55201	-10.00	249.44	1
25	D0025	-117.12840	32.55550	-117.13744	32.55288	-10.01	251.02	1
26	D0026	-117.12880	32.55640	-117.13792	32.55330	-10.00	248.04	1
27	D0027	-117.12920	32.55720	-117.13876	32.55395	-10.01	248.03	1
28	D0028	-117.12960	32.55810	-117.13951	32.55473	-10.00	248.03	1
29	D0029	-117.13000	32.55890	-117.14080	32.55503	-10.01	246.97	1
30	D0030	-117.13040	32.55970	-117.14198	32.55536	-10.00	246.03	1
31	D0031	-117.13090	32.56060	-117.14327	32.55595	-10.01	245.96	1
32	D0032	-117.13130	32.56140	-117.14532	32.55722	-10.00	250.52	1
33	D0033	-117.13160	32.56230	-117.14871	32.55803	-10.00	253.51	1
34	D0034	-117.13190	32.56310	-117.15016	32.55912	-10.00	255.50	1
35	D0035	-117.13210	32.56400	-117.15001	32.56041	-10.00	256.62	1
36	D0036	-117.13240	32.56490	-117.14924	32.56175	-10.00	257.49	2
37	D0037	-117.13260	32.56580	-117.14951	32.56290	-10.01	258.50	2
38	D0038	-117.13280	32.56660	-117.14934	32.56514	-10.00	264.02	1
39	D0039	-117.13280	32.56750	-117.14917	32.56684	-10.08	267.26	1
40	D0040	-117.13290	32.56840	-117.14915	32.56852	-10.00	270.50	1
41	D0041	-117.13280	32.56930	-117.14776	32.57040	-10.00	274.99	2
42	D0042	-117.13270	32.57020	-117.14783	32.57063	-10.00	271.93	2
43	D0043	-117.13270	32.57110	-117.14917	32.57183	-10.08	273.01	1
44	D0044	-117.13260	32.57200	-117.14896	32.57320	-10.00	274.97	1
45	D0045	-117.13250	32.57290	-117.14911	32.57346	-10.00	272.29	1
46	D0046	-117.13250	32.57380	-117.14660	32.57442	-10.00	272.99	1
47	D0047	-117.13240	32.57470	-117.14562	32.57516	-10.00	272.36	1
48	D0048	-117.13240	32.57560	-117.14500	32.57560	-9.87	270.00	1
49	D0049	-117.13240	32.57650	-117.14400	32.57594	-10.00	266.72	1
50	D0050	-117.13250	32.57740	-117.14195	32.57705	-10.00	267.48	1
51	D0051	-117.13250	32.57840	-117.14229	32.57797	-10.00	267.02	1
52	D0052	-117.13260	32.57930	-117.14230	32.57851	-10.00	264.48	1
53	D0053	-117.13270	32.58020	-117.14184	32.57986	-10.00	267.47	1
54	D0054	-117.13270	32.58110	-117.14165	32.58110	-10.00	270.00	1
55	D0055	-117.13270	32.58200	-117.14138	32.58200	-10.00	270.00	1
56	D0056	-117.13270	32.58290	-117.14066	32.58325	-10.01	272.99	1
57	D0057	-117.13260	32.58380	-117.14034	32.58409	-10.00	272.55	1
58	D0058	-117.13260	32.58470	-117.14029	32.58504	-10.00	273.00	1
59	D0059	-117.13250	32.58560	-117.13978	32.58619	-10.00	275.49	1
60	D0060	-117.13240	32.58650	-117.13949	32.58707	-10.00	275.45	1
61	D0061	-117.13230	32.58740	-117.13947	32.58772	-10.00	273.03	1
62	D0062	-117.13230	32.58830	-117.13960	32.58857	-10.00	272.51	1
63	D0063	-117.13220	32.58920	-117.13912	32.58945	-10.00	272.46	1
64	D0064	-117.13220	32.59010	-117.13902	32.59010	-10.01	270.00	1
65	D0065	-117.13220	32.59100	-117.13892	32.59075	-10.00	267.47	1
66	D0066	-117.13230	32.59190	-117.13897	32.59166	-10.01	267.55	1
67	D0067	-117.13230	32.59280	-117.13881	32.59280	-10.00	270.00	1
68	D0068	-117.13230	32.59370	-117.13883	32.59346	-10.00	267.50	1
69	D0069	-117.13240	32.59460	-117.13868	32.59432	-10.00	266.97	1
70	D0070	-117.13240	32.59550	-117.13885	32.59526	-10.00	267.47	1
71	D0071	-117.13250	32.59640	-117.13893	32.59588	-10.00	264.52	1
72	D0072	-117.13260	32.59730	-117.13889	32.59679	-10.02	264.50	1
73	D0073	-117.13270	32.59820	-117.13879	32.59771	-9.99	264.54	1
74	D0074	-117.13280	32.59910	-117.13898	32.59859	-10.00	264.41	1
75	D0075	-117.13290	32.60000	-117.13941	32.59947	-10.00	264.48	1
76	D0076	-117.13300	32.60090	-117.13910	32.60040	-10.01	264.44	1
77	D0077	-117.13310	32.60180	-117.13900	32.60101	-10.01	260.97	1
78	D0078	-117.13330	32.60260	-117.13925	32.60185	-10.01	261.49	1
79	D0079	-117.13340	32.60350	-117.13944	32.60301	-10.01	264.50	1
80	D0080	-117.13350	32.60440	-117.13972	32.60366	-10.00	261.96	1
81	D0081	-117.13370	32.60530	-117.13970	32.60459	-10.01	262.00	1
82	D0082	-117.13380	32.60620	-117.13956	32.60573	-10.00	264.47	1
83	D0083	-117.13390	32.60710	-117.13964	32.60664	-10.00	264.57	1
84	D0084	-117.13400	32.60800	-117.13966	32.60733	-10.02	262.00	1
85	D0085	-117.13420	32.60890	-117.13976	32.60799	-10.01	259.00	1
86	D0086	-117.13440	32.60980	-117.14018	32.60889	-10.01	259.41	1
87	D0087	-117.13460	32.61070	-117.14034	32.60980	-10.01	259.46	1
88	D0088	-117.13480	32.61160	-117.14035	32.61065	-10.01	258.51	1
89	D0089	-117.13500	32.61240	-117.14032	32.61157	-10.01	259.51	1
90	D0090	-117.13520	32.61330	-117.14058	32.61246	-10.01	259.50	1
91	D0091	-117.13540	32.61420	-117.14097	32.61329	-10.00	259.02	1
92	D0092	-117.13560	32.61510	-117.14127	32.61417	-10.02	258.98	1
93	D0093	-117.13580	32.61600	-117.14153	32.61506	-10.01	258.98	1
94	D0094	-117.13600	32.61690	-117.14154	32.61608	-10.00	260.03	1
95	D0095	-117.13620	32.61780	-117.14163	32.61662	-10.01	255.53	1
96	D0096	-117.13650	32.61860	-117.14187	32.61726	-10.01	253.50	1
97	D0097	-117.13680	32.61950	-117.14222	32.61840	-10.02	256.45	1
98	D0098	-117.13700	32.62040	-117.14246	32.61934	-10.00	257.02	1
99	D0099	-117.13730	32.62130	-117.14278	32.62015	-10.00	256.01	1
100	D0100	-117.13750	32.62210	-117.14301	32.62099	-10.00	256.55	1
101	D0101	-117.13780	32.62300	-117.14318	32.62153	-10.01	252.03	1
102	D0102	-117.13820	32.62390	-117.14352	32.62209	-9.99	248.00	1
103	D0103	-117.13860	32.62470	-117.14395	32.62310	-10.01	250.45	1
104	D0104	-117.13890	32.62560	-117.14436	32.62424	-10.01	253.52	1
105	D0105	-117.13920	32.62640	-117.14467	32.62503	-10.02	253.44	1
106	D0106	-117.13950	32.62730	-117.14537	32.62588	-10.00	253.97	1
107	D0107	-117.13980	32.62820	-117.14575	32.62672	-10.00	253.55	1
108	D0108	-117.14010	32.62900	-117.14620	32.62728	-10.00	251.49	1
109	D0109	-117.14050	32.62990	-117.14629	32.62793	-10.01	248.00	1
110	D0110	-117.14090	32.63070	-117.14686	32.62857	-10.00	247.01	1
111	D0111	-117.14130	32.63150	-117.14754	32.62938	-10.00	248.03	1
112	D0112	-117.14170	32.63240	-117.14822	32.63018	-9.99	247.99	1
113	D0113	-117.14210	32.63320	-117.14874	32.63117	-10.01	250.05	1
114	D0114	-117.14240	32.63400	-117.14916	32.63210	-10.00	251.54	1
115	D0115	-117.14280	32.63490	-117.14954	32.63266	-10.01	248.46	1
116	D0116	-117.14320	32.63570	-117.14976	32.63307	-10.00	244.54	1
117	D0117	-117.14370	32.63650	-117.15031	32.63390	-10.00	244.96	1
118	D0118	-117.14410	32.63730	-117.15102	32.63500	-10.07	248.46	1
119	D0119	-117.14450	32.63820	-117.15151	32.63587	-10.00	248.46	1
120	D0120	-117.14490	32.63900	-117.15193	32.63667	-9.96	248.52	1
121	D0121	-117.14530	32.63990	-117.15242	32.63754	-10.01	248.51	1
122	D0122	-117.14570	32.64070	-117.15263	32.63822	-10.00	246.98	1
123	D0123	-117.14610	32.64150	-117.15333	32.63934	-10.01	250.47	2
124	D0124	-117.14640	32.64240	-117.15386	32.64024	-10.00	251.02	1
125	D0125	-117.14680	32.64320	-117.15433	32.64070	-10.00	248.48	1
126	D0126	-117.14720	32.64410	-117.15495	32.64179	-10.01	250.51	2
127	D0127	-117.14750	32.64490	-117.15514	32.64231	-10.00	248.07	2
128	D0128	-117.14800	32.64580	-117.15526	32.64249	-10.00	241.57	2
129	D0129	-117.14850	32.64650	-117.15565	32.64309	-9.99	240.47	1
130	D0130	-117.14900	32.64730	-117.15610	32.64385	-10.01	240.01	1
131	D0131	-117.14960	32.64810	-117.15681	32.64460	-10.00	240.04	1
132	D0132	-117.15010	32.64890	-117.15696	32.64521	-10.01	237.43	1
133	D0133	-117.15070	32.64960	-117.15723	32.64561	-10.01	234.03	1
134	D0134	-117.15130	32.65030	-117.15797	32.64651	-10.00	235.99	1
135	D0135	-117.15190	32.65110	-117.15879	32.64741	-10.00	237.54	1
136	D0136	-117.15250	32.65190	-117.15952	32.64875	-10.00	241.95	1
137	D0137	-117.15290	32.65270	-117.16069	32.64964	-10.00	244.99	1
138	D0138	-117.15340	32.65350	-117.16096	32.65046	-10.00	244.47	1
139	D0139	-117.15380	32.65430	-117.16138	32.65133	-10.00	245.04	1
140	D0140	-117.15430	32.65510	-117.16187	32.65171	-10.00	241.99	1
141	D0141	-117.15480	32.65590	-117.16268	32.65237	-10.00	241.98	1
142	D0142	-117.15530	32.65670	-117.16306	32.65323	-10.01	242.03	1
143	D0143	-117.15580	32.65750	-117.16389	32.65411	-10.00	243.54	2
144	D0144	-117.15620	32.65840	-117.16431	32.65461	-10.00	240.97	1
145	D0145	-117.15680	32.65910	-117.16491	32.65524	-10.00	240.52	2
146	D0146	-117.15730	32.65990	-117.16567	32.65583	-10.00	239.99	1
147	D0147	-117.15790	32.66070	-117.16592	32.65606	-10.01	235.50	1
148	D0148	-117.15850	32.66140	-117.16675	32.65698	-10.00	237.53	1
149	D0149	-117.15900	32.66220	-117.16750	32.65770	-10.07	237.84	1
150	D0150	-117.15960	32.66290	-117.16789	32.65828	-10.00	236.50	1
151	D0151	-117.16020	32.66370	-117.16827	32.65869	-10.00	233.59	1
152	D0152	-117.16090	32.66440	-117.16840	32.65955	-10.01	232.47	1
153	D0153	-117.16150	32.66510	-117.16875	32.66091	-10.00	235.53	2
154	D0154	-117.16210	32.66590	-117.16934	32.66129	-10.00	232.90	2
155	D0155	-117.16280	32.66660	-117.16954	32.66140	-10.00	227.50	1
156	D0156	-117.16350	32.66720	-117.16961	32.66144	-10.00	221.77	2
157	D0157	-117.16440	32.66780	-117.17036	32.66181	-10.00	219.95	2
158	D0158	-117.16520	32.66840	-117.17136	32.66293	-10.00	223.47	1
159	D0159	-117.16590	32.66900	-117.17211	32.66359	-10.00	224.02	1
160	D0160	-117.16670	32.66960	-117.17306	32.66434	-10.00	225.51	2
161	D0161	-117.16740	32.67030	-117.17371	32.66500	-10.01	225.06	1
162	D0162	-117.16820	32.67090	-117.17413	32.66535	-10.00	221.97	1
163	D0163	-117.16900	32.67150	-117.17516	32.66603	-10.00	223.47	1
164	D0164	-117.16970	32.67210	-117.17582	32.66677	-10.00	224.03	1
165	D0165	-117.17050	32.67270	-117.17667	32.66732	-9.99	223.99	1
166	D0166	-117.17130	32.67340	-117.17755	32.66795	-10.00	223.99	1
167	D0167	-117.17210	32.67400	-117.17811	32.66838	-10.00	221.99	1
168	D0168	-117.17290	32.67460	-117.17891	32.66898	-10.00	221.99	2
169	D0169	-117.17370	32.67520	-117.17988	32.66932	-10.00	221.50	2
170	D0170	-117.17450	32.67580	-117.18089	32.67014	-10.00	223.54	2
171	D0171	-117.17520	32.67640	-117.18182	32.67053	-10.01	223.51	2
172	D0172	-117.17600	32.67700	-117.18287	32.67101	-10.00	223.99	2
173	D0173	-117.17680	32.67770	-117.18382	32.67148	-10.00	223.53	2
174	D0174	-117.17760	32.67830	-117.18452	32.67172	-10.00	221.52	2
175	D0175	-117.17840	32.67890	-117.18633	32.67268	-10.00	227.02	2
176	D0176	-117.17900	32.67960	-117.18748	32.67335	-10.00	228.80	2
177	D0177	-117.17970	32.68020	-117.18781	32.67361	-10.00	226.01	2
178	D0178	-117.18050	32.68090	-117.18798	32.67370	-10.00	221.17	2
179	D0179	-117.18130	32.68140	-117.18846	32.67395	-10.00	218.97	2
180	D0180	-117.18220	32.68200	-117.19032	32.67356	-10.00	219.00	2
181	D0181	-117.18300	32.68260	-117.19120	32.67358	-10.00	217.42	2
182	D0182	-117.18380	32.68310	-117.19120	32.67358	-10.00	213.20	2
183	D0183	-117.18480	32.68360	-117.19120	32.67358	-10.00	208.26	2
184	D0184	-117.18570	32.68400	-117.19366	32.67167	-9.98	208.52	2
185	D0185	-117.18660	32.68450	-117.19467	32.67143	-10.00	207.46	2
186	D0186	-117.18760	32.68490	-117.19467	32.67143	-10.00	203.84	2
187	D0187	-117.18860	32.68520	-117.19493	32.67131	-10.00	200.99	2
188	D0188	-117.18960	32.68550	-117.19557	32.67089	-10.00	198.98	2
189	D0189	-117.19050	32.68590	-117.19630	32.67000	-10.07	197.07	2
190	D0190	-117.19160	32.68610	-117.19630	32.67000	-10.07	193.81	2
191	D0191	-117.19260	32.68630	-117.19630	32.67000	-10.07	190.82	2
192	D0192	-117.19370	32.68640	-117.19797	32.66875	-10.00	191.51	2
193	D0193	-117.19470	32.68660	-117.20069	32.66637	-10.00	194.00	2
194	D0194	-117.19570	32.68690	-117.20184	32.66417	-9.98	192.81	2
195	D0195	-117.19670	32.68710	-117.20184	32.66417	-9.98	190.69	2
196	D0196	-117.19780	32.68730	-117.20184	32.66417	-9.98	188.36	2
197	D0197	-117.19880	32.68750	-117.20184	32.66417	-9.98	186.26	2
198	D0198	-117.19990	32.68750	-117.20184	32.66417	-9.98	184.00	2
199	D0199	-117.20100	32.68750	-117.20184	32.66417	-9.98	181.74	2
200	D0200	-117.20200	32.68750	-117.20184	32.66417	-9.98	179.67	2
201	D0201	-117.20310	32.68750	-117.20310	32.66219	-10.00	180.00	2
202	D0202	-117.20420	32.68760	-117.20365	32.66098	-10.00	179.00	2
203	D0203	-117.20520	32.68760	-117.20365	32.66098	-10.00	177.19	2
204	D0204	-117.20630	32.68750	-117.20365	32.66098	-10.00	175.19	2
205	D0205	-117.20740	32.68750	-117.20365	32.66098	-10.00	173.21	2
206	D0206	-117.20840	32.68740	-117.20365	32.66098	-10.00	171.39	2
207	D0207	-117.20950	32.68740	-117.20365	32.66098	-10.00	169.44	2
208	D0208	-117.21050	32.68730	-117.20365	32.66098	-10.00	167.64	2
209	D0209	-117.21160	32.68730	-117.20365	32.66098	-10.00	165.73	2
210	D0210	-117.21270	32.68720	-117.20365	32.66098	-10.00	163.80	2
211	D0211	-117.21370	32.68710	-117.20365	32.66098	-10.00	162.05	2
212	D0212	-117.21480	32.68690	-117.20365	32.66098	-10.00	160.09	2
213	D0213	-117.21580	32.68670	-117.20365	32.66098	-10.00	158.31	2
214	D0214	-117.21680	32.68640	-117.20365	32.66098	-10.00	156.47	2
215	D0215	-117.21780	32.68610	-117.20365	32.66098	-10.00	154.63	2
216	D0216	-117.21880	32.68570	-117.20365	32.66098	-10.00	152.71	2
217	D0217	-117.21980	32.68540	-117.20365	32.66098	-10.00	150.89	2
218	D0218	-117.22080	32.68500	-117.20365	32.66098	-10.00	148.99	2
219	D0219	-117.22170	32.68460	-117.20365	32.66098	-10.00	147.24	2
220	D0220	-117.22260	32.68420	-117.20365	32.66098	-10.00	145.51	2
221	D0221	-117.22330	32.68350	-117.20365	32.66098	-10.00	143.70	0
222	D0222	-117.22350	32.68260	-117.20365	32.66098	-10.00	142.30	0
223	D0223	-117.22350	32.68170	-117.20365	32.66098	-10.00	141.11	0
224	D0224	-117.22420	32.68110	-117.20365	32.66098	-10.00	139.31	0
225	D0225	-117.22500	32.68050	-117.20411	32.66063	-10.00	138.49	0
226	D0226	-117.22580	32.67990	-117.20425	32.66042	-10.01	137.04	0
227	D0227	-117.22660	32.67930	-117.20425	32.66042	-10.01	135.10	0
228	D0228	-117.22740	32.67860	-117.22740	32.67860	-10.08	999.99	0
229	D0229	-117.22810	32.67800	-117.22810	32.67800	-13.40	999.99	0
230	D0230	-117.22890	32.67740	-117.22890	32.67739	-14.49	180.00	0
231	D0231	-117.22970	32.67680	-117.22970	32.67680	-14.88	999.99	0
232	D0232	-117.23050	32.67620	-117.23050	32.67620	-15.67	999.99	0
233	D0233	-117.23130	32.67560	-117.23130	32.67559	-16.74	180.00	0
234	D0234	-117.23200	32.67500	-117.23200	32.67500	-13.13	999.99	0
235	D0235	-117.23280	32.67430	-117.23250	32.67424	-10.53	103.37	0
236	D0236	-117.23360	32.67370	-117.23239	32.67286	-10.00	129.51	0
237	D0237	-117.23440	32.67310	-117.23201	32.67098	-10.01	136.50	0
238	D0238	-117.23520	32.67250	-117.23184	32.66973	-10.00	134.40	0
239	D0239	-117.23590	32.67190	-117.23181	32.66945	-10.00	125.44	0
240	D0240	-117.23640	32.67110	-117.23177	32.66895	-10.02	118.88	2
241	D0241	-117.23710	32.67040	-117.23172	32.66854	-10.02	112.33	2
242	D0242	-117.23740	32.66950	-117.23172	32.66854	-10.02	101.35	2
243	D0243	-117.23730	32.66870	-117.23167	32.66791	-10.51	99.46	2
244	D0244	-117.23750	32.66780	-117.23135	32.66587	-10.02	110.44	2
245	D0245	-117.23810	32.66700	-117.23083	32.66287	-10.83	124.01	2
246	D0246	-117.23870	32.66630	-117.23167	32.65937	-10.01	139.50	1
247	D0247	-117.23960	32.66590	-117.23725	32.66060	-10.00	159.53	1
248	D0248	-117.24070	32.66570	-117.23837	32.65937	-10.00	162.78	1
249	D0249	-117.24170	32.66540	-117.23837	32.65937	-10.00	155.07	2
250	D0250	-117.24260	32.66500	-117.24260	32.65416	-10.08	180.00	2
251	D0251	-117.24350	32.66540	-117.24807	32.66074	-10.00	219.54	1
252	D0252	-117.24420	32.66610	-117.24954	32.66290	-10.00	234.56	1
253	D0253	-117.24470	32.66680	-117.25084	32.66461	-10.27	247.04	2
254	D0254	-117.24500	32.66770	-117.25267	32.66633	-10.00	258.02	1
255	D0255	-117.24480	32.66850	-117.25527	32.66710	-10.00	260.97	1
256	D0256	-117.24530	32.66930	-117.25562	32.66785	-10.01	260.52	2
257	D0257	-117.24540	32.67000	-117.25630	32.66944	-10.01	266.51	2
258	D0258	-117.24520	32.67090	-117.25651	32.67033	-10.01	266.57	2
259	D0259	-117.24550	32.67180	-117.25659	32.67065	-10.01	262.98	2
260	D0260	-117.24550	32.67270	-117.25663	32.67081	-10.00	258.59	2
261	D0261	-117.24550	32.67360	-117.25663	32.67081	-10.00	253.42	2
262	D0262	-117.24600	32.67430	-117.25663	32.67081	-10.00	248.69	2
263	D0263	-117.24660	32.67500	-117.25695	32.67225	-10.01	252.48	2
264	D0264	-117.24680	32.67590	-117.25750	32.67398	-10.01	257.97	2
265	D0265	-117.24700	32.67680	-117.25764	32.67413	-10.00	253.40	1
266	D0266	-117.24740	32.67760	-117.25764	32.67429	-10.01	248.99	2
267	D0267	-117.24780	32.67840	-117.25787	32.67506	-10.01	248.49	1
268	D0268	-117.24820	32.67930	-117.25808	32.67643	-10.01	250.96	1
269	D0269	-117.24850	32.68010	-117.25834	32.67819	-10.60	257.01	2
270	D0270	-117.24840	32.68100	-117.25824	32.67924	-10.01	258.00	2
271	D0271	-117.24830	32.68190	-117.25824	32.67924	-10.01	252.36	2
272	D0272	-117.24860	32.68270	-117.25824	32.67924	-10.01	246.91	2
273	D0273	-117.24950	32.68300	-117.25871	32.68010	-10.00	249.49	2
274	D0274	-117.24980	32.68380	-117.25980	32.68232	-10.00	260.03	2
275	D0275	-117.24980	32.68470	-117.26057	32.68380	-9.99	264.33	1
276	D0276	-117.25000	32.68560	-117.26068	32.68410	-10.01	260.53	1
277	D0277	-117.25020	32.68650	-117.26086	32.68524	-9.99	262.01	2
278	D0278	-117.25020	32.68740	-117.26096	32.68603	-10.03	261.40	2
279	D0279	-117.25010	32.68830	-117.26096	32.68603	-10.03	256.05	2
280	D0280	-117.25020	32.68920	-117.26096	32.68603	-10.03	250.71	2
281	D0281	-117.25080	32.68990	-117.26096	32.68603	-10.03	245.65	2
282	D0282	-117.25140	32.69060	-117.26096	32.68603	-10.03	240.40	2
283	D0283	-117.25210	32.69130	-117.26096	32.68603	-10.03	234.75	2
284	D0284	-117.25280	32.69200	-117.26204	32.68837	-10.01	244.98	2
285	D0285	-117.25300	32.69280	-117.26299	32.69101	-10.02	257.98	2
286	D0286	-117.25300	32.69370	-117.26302	32.69131	-10.00	254.18	2
287	D0287	-117.25350	32.69450	-117.26302	32.69131	-10.00	248.29	2
288	D0288	-117.25400	32.69530	-117.26338	32.69318	-10.02	254.97	2
289	D0289	-117.25410	32.69620	-117.26417	32.69485	-10.06	260.95	2
290	D0290	-117.25430	32.69700	-117.26419	32.69500	-10.02	256.49	1
291	D0291	-117.25450	32.69790	-117.26421	32.69508	-10.03	250.96	2
292	D0292	-117.25500	32.69870	-117.26434	32.69607	-10.00	251.50	2
293	D0293	-117.25530	32.69960	-117.26466	32.69849	-10.01	261.98	1
294	D0294	-117.25530	32.70050	-117.26436	32.70050	-10.00	270.00	1
295	D0295	-117.25530	32.70140	-117.26399	32.70147	-10.01	270.55	2
296	D0296	-117.25520	32.70230	-117.26364	32.70189	-10.01	266.70	1
297	D0297	-117.25540	32.70320	-117.26359	32.70205	-10.01	260.53	1
298	D0298	-117.25560	32.70400	-117.26348	32.70301	-10.01	261.51	1
299	D0299	-117.25570	32.70490	-117.26340	32.70456	-10.01	267.00	1
300	D0300	-117.25570	32.70580	-117.26353	32.70580	-9.98	270.00	1
301	D0301	-117.25570	32.70670	-117.26367	32.70705	-10.01	272.99	1
302	D0302	-117.25560	32.70760	-117.26383	32.70815	-10.00	274.54	2
303	D0303	-117.25540	32.70850	-117.26389	32.70845	-10.02	269.60	2
304	D0304	-117.25550	32.70940	-117.26389	32.70845	-10.02	262.34	2
305	D0305	-117.25580	32.71030	-117.26397	32.70903	-10.00	259.53	2
306	D0306	-117.25600	32.71120	-117.26417	32.71017	-10.14	261.48	1
307	D0307	-117.25610	32.71210	-117.26445	32.71143	-10.01	264.55	1
308	D0308	-117.25620	32.71300	-117.26476	32.71231	-10.00	264.53	1
309	D0309	-117.25630	32.71380	-117.26479	32.71311	-10.01	264.48	1
310	D0310	-117.25640	32.71470	-117.26524	32.71483	-10.02	271.00	2
311	D0311	-117.25590	32.71550	-117.26558	32.71606	-10.02	273.93	2
312	D0312	-117.25580	32.71640	-117.26558	32.71606	-10.02	267.63	2
313	D0313	-117.25600	32.71720	-117.26558	32.71606	-10.02	261.95	2
314	D0314	-117.25630	32.71810	-117.26558	32.71606	-10.02	255.36	2
315	D0315	-117.25680	32.71890	-117.26563	32.71670	-10.01	253.50	2
316	D0316	-117.25710	32.71980	-117.26556	32.71848	-10.01	259.49	1
317	D0317	-117.25720	32.72070	-117.26493	32.72007	-10.01	264.47	1
318	D0318	-117.25730	32.72160	-117.26478	32.72127	-10.00	267.00	2
319	D0319	-117.25730	32.72250	-117.26469	32.72192	-10.00	264.67	2
320	D0320	-117.25740	32.72330	-117.26469	32.72192	-10.00	257.32	1
321	D0321	-117.25780	32.72420	-117.26482	32.72262	-10.00	255.02	2
322	D0322	-117.25800	32.72500	-117.26516	32.72511	-10.00	271.05	1
323	D0323	-117.25780	32.72560	-117.26610	32.72849	-10.00	292.48	2
324	D0324	-117.25700	32.72610	-117.26442	32.72895	-10.00	294.54	2
325	D0325	-117.25630	32.72680	-117.26442	32.72895	-10.00	287.47	2
326	D0326	-117.25590	32.72760	-117.26442	32.72895	-10.00	280.67	1
327	D0327	-117.25610	32.72850	-117.26442	32.72895	-10.00	273.68	2
328	D0328	-117.25640	32.72930	-117.26442	32.72895	-10.00	267.03	2
329	D0329	-117.25680	32.73010	-117.26409	32.72978	-10.01	267.01	2
330	D0330	-117.25680	32.73100	-117.26365	32.73100	-10.01	270.00	1
331	D0331	-117.25680	32.73190	-117.26389	32.73185	-10.01	269.52	1
332	D0332	-117.25680	32.73280	-117.26395	32.73222	-9.99	264.49	1
333	D0333	-117.25690	32.73340	-117.26405	32.73441	-10.01	279.53	2
334	D0334	-117.25640	32.73410	-117.26459	32.73698	-10.00	292.69	2
335	D0335	-117.25600	32.73490	-117.26459	32.73698	-10.00	286.06	2
336	D0336	-117.25590	32.73580	-117.26458	32.73776	-10.00	285.03	2
337	D0337	-117.25560	32.73660	-117.26447	32.73843	-10.00	283.78	1
338	D0338	-117.25540	32.73750	-117.26439	32.73883	-10.00	279.98	1
339	D0339	-117.25520	32.73840	-117.26432	32.73909	-10.00	275.14	1
340	D0340	-117.25520	32.73930	-117.26417	32.73983	-10.08	274.02	1
341	D0341	-117.25510	32.74020	-117.26406	32.74060	-10.00	273.04	1
342	D0342	-117.25510	32.74110	-117.26403	32.74143	-10.00	272.52	2
343	D0343	-117.25500	32.74200	-117.26405	32.74216	-10.00	271.20	2
344	D0344	-117.25500	32.74290	-117.26405	32.74216	-10.00	264.45	1
345	D0345	-117.25520	32.74380	-117.26412	32.74248	-10.00	260.02	2
346	D0346	-117.25540	32.74470	-117.26427	32.74438	-10.00	267.54	1
347	D0347	-117.25530	32.74560	-117.26356	32.74701	-10.00	281.47	1
348	D0348	-117.25500	32.74640	-117.26353	32.75005	-10.01	296.97	2
349	D0349	-117.25420	32.74680	-117.26375	32.75236	-10.00	304.69	2
350	D0350	-117.25340	32.74730	-117.26375	32.75236	-10.00	300.17	2
351	D0351	-117.25310	32.74820	-117.26375	32.75236	-10.00	294.91	2
352	D0352	-117.25280	32.74910	-117.26375	32.75236	-10.00	289.49	1
353	D0353	-117.25250	32.75000	-117.26375	32.75236	-10.00	284.01	2
354	D0354	-117.25240	32.75090	-117.26375	32.75236	-10.00	278.70	2
355	D0355	-117.25230	32.75170	-117.26375	32.75236	-10.00	273.92	2
356	D0356	-117.25240	32.75260	-117.26375	32.75236	-10.00	268.56	2
357	D0357	-117.25250	32.75350	-117.26366	32.75276	-10.00	265.49	2
358	D0358	-117.25260	32.75440	-117.26352	32.75351	-10.00	264.46	2
