N	mop_num	b_lon	b_lat	p_lon	p_lat	depth	orient	shore_type
7099	MO818	-121.81830	36.67110	-121.82399	36.67272	-15.02	289.54	1
7100	MO819	-121.81750	36.67280	-121.82332	36.67445	-15.00	289.47	1
7101	MO820	-121.81680	36.67450	-121.82280	36.67583	-15.01	285.45	1
7102	MO821	-121.81630	36.67630	-121.82223	36.67740	-15.01	283.02	1
7103	MO822	-121.81580	36.67800	-121.82158	36.67929	-15.00	285.55	1
7104	MO823	-121.81510	36.67980	-121.82092	36.68118	-15.01	286.47	1
7105	MO824	-121.81450	36.68150	-121.82041	36.68295	-15.01	287.01	1
7106	MO825	-121.81380	36.68320	-121.81998	36.68457	-15.01	285.45	1
7107	MO826	-121.81330	36.68500	-121.81957	36.68612	-15.01	282.56	1
7108	MO827	-121.81280	36.68670	-121.81912	36.68787	-15.00	283.00	1
7109	MO828	-121.81230	36.68850	-121.81874	36.68955	-15.00	281.49	1
7110	MO829	-121.81190	36.69030	-121.81837	36.69145	-15.00	282.50	1
7111	MO830	-121.81130	36.69200	-121.81799	36.69324	-15.03	283.02	1
7112	MO831	-121.81090	36.69380	-121.81773	36.69477	-15.02	280.04	1
7113	MO832	-121.81050	36.69550	-121.81744	36.69653	-15.00	280.49	1
7114	MO833	-121.81010	36.69730	-121.81724	36.69821	-15.01	279.03	1
7115	MO834	-121.80980	36.69910	-121.81718	36.69988	-15.00	277.51	1
7116	MO835	-121.80950	36.70090	-121.81703	36.70175	-15.00	278.01	1
7117	MO836	-121.80920	36.70270	-121.81691	36.70351	-15.00	277.47	1
7118	MO837	-121.80890	36.70450	-121.81680	36.70533	-15.02	277.47	1
7119	MO838	-121.80860	36.70630	-121.81655	36.70714	-15.00	277.51	1
7120	MO839	-121.80830	36.70800	-121.81626	36.70918	-15.00	280.48	1
7121	MO840	-121.80780	36.70980	-121.81607	36.71109	-15.00	281.01	1
7122	MO841	-121.80740	36.71160	-121.81585	36.71280	-15.00	280.05	1
7123	MO842	-121.80700	36.71330	-121.81582	36.71442	-15.01	279.00	1
7124	MO843	-121.80670	36.71510	-121.81575	36.71573	-15.00	274.96	1
7125	MO844	-121.80660	36.71690	-121.81600	36.71736	-15.01	273.49	1
7126	MO845	-121.80640	36.71870	-121.81634	36.71919	-15.01	273.52	1
7127	MO846	-121.80630	36.72050	-121.81651	36.72071	-15.01	271.47	1
7128	MO847	-121.80630	36.72230	-121.81682	36.72245	-15.01	271.02	1
7129	MO848	-121.80620	36.72410	-121.81715	36.72464	-14.99	273.52	1
7130	MO849	-121.80600	36.72590	-121.81783	36.72673	-15.01	275.00	1
7131	MO850	-121.80580	36.72770	-121.81831	36.72831	-15.01	273.48	1
7132	MO851	-121.80570	36.72950	-121.81862	36.72968	-15.00	271.00	1
7133	MO852	-121.80570	36.73130	-121.81883	36.73130	-15.00	270.00	1
7134	MO853	-121.80570	36.73310	-121.81937	36.73339	-15.00	271.52	1
7135	MO854	-121.80560	36.73490	-121.81969	36.73510	-15.00	271.01	1
7136	MO855	-121.80560	36.73670	-121.82008	36.73670	-15.00	270.00	1
7137	MO856	-121.80560	36.73850	-121.82043	36.73870	-15.00	270.96	1
7138	MO857	-121.80550	36.74030	-121.82079	36.74083	-14.98	272.48	1
7139	MO858	-121.80540	36.74210	-121.82108	36.74243	-15.00	271.50	1
7140	MO859	-121.80540	36.74390	-121.82117	36.74445	-15.00	272.49	1
7141	MO860	-121.80520	36.74570	-121.82136	36.74683	-15.00	274.99	1
7142	MO861	-121.80500	36.74750	-121.82143	36.74865	-15.00	274.99	1
7143	MO862	-121.80480	36.74930	-121.82127	36.75045	-15.00	274.98	1
7144	MO863	-121.80460	36.75110	-121.82092	36.75294	-15.00	278.01	1
7145	MO864	-121.80420	36.75290	-121.82042	36.75554	-15.00	281.48	1
7146	MO865	-121.80370	36.75470	-121.81975	36.75826	-15.00	285.47	1
7147	MO866	-121.80300	36.75640	-121.81900	36.76069	-15.00	288.50	1
7148	MO867	-121.80230	36.75810	-121.81831	36.76277	-15.00	290.01	1
7149	MO868	-121.80150	36.75970	-121.81759	36.76478	-15.00	291.51	1
7150	MO869	-121.80070	36.76140	-121.81724	36.76532	-15.00	286.48	1
7151	MO870	-121.80020	36.76320	-121.81697	36.76593	-15.00	281.49	1
7152	MO871	-121.79980	36.76500	-121.81660	36.76677	-15.00	277.49	1
7153	MO872	-121.79960	36.76680	-121.81621	36.76808	-15.00	275.49	1
7154	MO873	-121.79940	36.76850	-121.81535	36.77052	-15.01	278.98	1
7155	MO874	-121.79890	36.77030	-121.81416	36.77279	-15.00	281.51	1
7156	MO875	-121.79850	36.77210	-121.81309	36.77448	-15.01	281.51	1
7157	MO876	-121.79800	36.77380	-121.81226	36.77623	-15.01	282.01	1
7158	MO877	-121.79760	36.77560	-121.81163	36.77758	-15.00	279.99	1
7159	MO878	-121.79720	36.77740	-121.81055	36.77967	-15.00	281.99	1
7160	MO879	-121.79670	36.77910	-121.80956	36.78148	-15.02	283.01	1
7161	MO880	-121.79620	36.78090	-121.80864	36.78320	-15.00	283.00	1
7162	MO881	-121.79570	36.78260	-121.80772	36.78509	-15.01	284.50	1
7163	MO882	-121.79510	36.78440	-121.80698	36.78669	-15.00	283.53	1
7164	MO883	-121.79460	36.78620	-121.80626	36.78862	-15.00	284.53	1
7165	MO884	-121.79400	36.78790	-121.80549	36.79045	-15.01	285.49	1
7166	MO885	-121.79340	36.78960	-121.80477	36.79195	-15.01	284.47	1
7167	MO886	-121.79290	36.79140	-121.80418	36.79348	-15.00	282.97	1
7168	MO887	-121.79240	36.79310	-121.80338	36.79529	-15.02	283.99	1
7169	MO888	-121.79180	36.79490	-121.80191	36.79714	-15.00	285.47	1
7170	MO889	-121.79120	36.79660	-121.79951	36.79883	-15.02	288.53	2
7171	MO890	-121.79050	36.79830	-121.79368	36.79961	-15.21	297.12	2
7172	MO891	-121.78970	36.80000	-121.79188	36.80063	-15.06	289.85	2
7173	MO892	-121.78890	36.80170	-121.79167	36.80223	-15.93	283.44	1
7174	MO893	-121.78840	36.80340	-121.79221	36.80342	-15.07	270.38	1
7175	MO894	-121.78890	36.80520	-121.79235	36.80449	-15.05	255.59	0
7176	MO895	-121.78950	36.80680	-121.79351	36.80592	-14.96	254.47	0
7177	MO896	-121.78970	36.80860	-121.79803	36.80802	-14.98	265.03	1
7178	MO897	-121.78990	36.81040	-121.79852	36.80949	-15.01	262.49	1
